Model,Market,Year From,Year To,URL,Make
Ioniq Electric,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEoFSg5TCl_aWJbZzwgb2s4UFhSV0tbKXJ0czY5eT8gOVRHFgMVW1IuLSgvLCphYXNpOSY_SjlhYBwNE3NiWldUS2xbIH1wZERDXSwjLi89EiFpb1xIVFBSURQDL0Vrb2taTFVEAh8VKCFVcnRybT4GITR5b250eQAAAAAytGvn%24&vid=523096603&q=,Hyundai
Grandeur,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGOs46f6o_Zz8T9wZqGyc2e9v708e39gNfb1ZCf35mGn_LhsKWz_fSIi46JiozHx9XPn4CZ7J_Hxrqrs47oyP2R9NfCvYjWwuLl-4qFiImbtIfPyfru8vb097KliePNyc386vPipLmzjof9yd3T3t2QmQAAAAA7kfzu%24&vid=1066529624&q=,Hyundai
Porter 2 Electric,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHL9svar8qcioG4hN_DjIjbs7uxtKi3r-WcgtvU3Zvbwt21-fv8vbm2zMnKy82UjJ7bi93E26jdgN7x8rKMqoSIu5KO6PHB2IagobnOx8-R0O2Ji4u-rLa0s-_5_Ienj42PuKi0-u_gvcrFrpaKi5jSjoDZvZObmoyNlMMAAAAAaEUiyA%3D%3D%24&vid=334365856&q=,Hyundai
Sonata Hybrid,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEGOwYXYgdRR0x1SRIOQUUWfnZ8eWV6ZF9TXRgXVxEOF3ppOC07dXwAAwYBAgRPT11HFwgRZBdPTjIjFm5nH2VDT3R4JVteSmptcwINAAETPA9HQXJmen58fzotAWtFQUV0YntqLDE7Bg9hXFpURlFNKwZWR1tXAAAAAIHEvuE%3D%24&vid=658018977&q=,Hyundai
Kona Hybrid,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFIdUhZLEkfCQI7B1xADwtYMDgyNys_JBIUE1ZZGV9AWTQndmN1OzJOTUhPTEoBARMJWUZfKlkBAHxtZQgPRRUZKyYVcVoQBCQjPUxDTk9dckEJDzwoNDAyMXRjTyULDws6LDUkYn91SEE3EhQaXDZaT0MTHwAAAABSJg-5%24&vid=1212120584&q=,Hyundai
GRAND I10 20 (2019-),GEN,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwG1iLWk0bTi9P_G-qG98valz8bFydbJ0uzg7quk5KK9pMnai56Ixs-zsLWysbf8_O70pLui16T8_YGQm_T19Oux99bR6Jnt-dnewLG-s7Kgj7z08sHVyc3PzImestj28vbH0cjZn4KItbzG0sbIxaO34fyntLGgr7Sxsuf95QAAAAAd0oI4%24&vid=663092048&q=,Hyundai
Grandeur,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHI9cjZrMmfiYK7h9zAj4vYsLiyt6uxx5Gdk9bZmd_A2bSn9uP1u7LOzcjPzMqBgZOJ2cbfqtmBgPzt-cK0t4mri4ar0PiQhKSjvczDzs_d8sGJj7yotLCysfTjz6WLj4u6rLWk4v_1yMG7j5uVmJvW3wAAAAD44ct4%24&vid=463321121&q=,Hyundai
Ioniq Hybrid,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGCv4KT5oPVw8jxzZaKxcGS-vL4_eHxhtje2ZyT05WKk_7tvKm_8fiEh4KFhoDLy9nDk4yV4JPLyranueHEgsDBgvfHm6bazu7p94aJhIWXuIvDxfbi_vr4-76phe_BxcHw5v_uqLW_gov_2N7Yx5ShnpnC2NIAAAAAMNPRMg%3D%3D%24&vid=1285676708&q=,Hyundai
Venue,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwF0SXRlEHUjNT4HO2B8MzdkDAQOCxcTDC4oL2plJWN8ZQgbSl9JBw5ycXRzcHY9PS81ZXpjFmU9PEBROyQPKiUTCCcIKVwsOBgfAXB_cnNhTn01MwAUCAwODUhfcxk3MzcGEAkYXkNJdH0WJCgyJQAAAAAKNrQd%24&vid=408810452&q=,Hyundai
I20/BAYON 21 (2020-),EUR,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFLdktaL0ocCgE4BF9DDAhbLDorKygsKhIfEFVaGlxDWjckdWB2ODFNTktMT0kCAhAKWkVcKVoCA39uYTgsEgswFQsFSH8TBycgPk9ATUxecUIKDD8rNzMxMndgTCYIDAg5LzYnYXx2S0IWTElXPTx5YXxZSk5eUUpPTxADGwAAAADOTkFe%24&vid=1097162071&q=,Hyundai
Santa Fe,DOM,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFyT3JjFnMlMzgBPWZ6NTFiCgIIDREVdSsnKWxjI2V6Yw4dTFlPAQh0d3J1dnA7OykzY3xlEGM7OkZXSSwqJQQDIBMKc3gqPh4ZB3Z5dHVnSHszNQYSDgoIC05ZdR8xNTEAFg8eWEVPcnsVJi41J2RfcgAAAABAwjP8%24&vid=1232756807&q=,Hyundai
I30 N 20 (2020-),EUR,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwE6BzorXjtte3BJdS4yfXkqQUtaWlldPGNvYSQray0yK0ZVBBEHSUA8Pzo9Pjhzc2F7KzQtWCtzcg4fKD0kPXtwZX5GAWdidlZRTz4xPD0vADN7fU5aRkJAQwYRPVd5fXlIXkdWEA0HOjNnPDgpQCxjb2MgOz49OCQnAAAAAHIdQCI%3D%24&vid=335143515&q=,Hyundai
TUCSON 22 (2020-),GEN,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwF8QXxtGH0rPTYPM2h0Oz9sBw8MAB8PHiUrJ2JtLWt0bQATQldBDwZ6eXx7eH41NSc9bXJrHm01NEhZfwUcPSYFHxAseHokMBAXCXh3entpRnU9OwgcAAQGBUBXexE_Oz8OGAEQVktBfHUcHA0cBwQ3KzduZ3p5fH9lYwAAAAB8T1tv%24&vid=674035495&q=,Hyundai
I20/BAYON 21 (2020-),EUR;GEN,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGskay9yK377ebf47ik6--8y9DUys_LzfX497K9_bukvdDDkoeR39aqqayrqK7l5fftvaK7zr3l5JiJp6rJztbq6crCg4D04MDH2ainqqu5lqXt69jM0NTW1ZCHq8Hv6-_eyNHAhpuRrKXxq66w2tuehpu-ram5tq2oqPfk_AAAAACUwIle%24&vid=870111336&q=,Hyundai
G80 20 (2020-),HAC,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEFOAUUYQRSRE92ShENQkYVfXlxdGZ7eVxQXhsUVBINFHlqOy44dn8DAAUCAQdMTF5EFAsSZxRMTTEgK1Naa2pSZnN7Cy1dSWlucAEOAwIQPwxEQnFleX1_fDkuAmhGQkZ3YXhpLzI4BQx2CAcWAwNOSE4HBAEdHgAAAADHwF_A%24&vid=1541496517&q=,Hyundai
SONATA HYBRID 20 (2020-),HMA,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEINQgZbAlfSUJ7RxwAT0sYcHRwe2t0alFdUxYZWR8AGXRnNiM1e3IODQgPDApBQVNJGQYfahlBQDwtMF9CVHNcdkl8IgZQRGRjfQwDDg8dMgFJT3xodHBycTQjD2VLT0t6bHVkIj81CAFvcnR6aH9DJSh4aXV5GgkMHktfQQgLERQAAAAA55INiw%3D%3D%24&vid=1064715619&q=,Hyundai
TUCSON 22 (2020-),MES,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEKNwobbgtdS0B5RR4CTUkacXN6a2l5aFNdURQbWx0CG3ZlNCE3eXAMDwoNDghDQ1FLGwQdaBtDQj4vQ2BKVlpRcgoPDiZSRmZhfw4BDA0fMANLTX5qdnJwczYhDWdJTUl4bndmID03CgNqantqcXJBXUEYEQwPCgkTFQAAAACTiH1w%24&vid=41142222&q=,Hyundai
G80 20 (2020-),GEN,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHzzvPil_KksrmAvOf7tLDji4CDj5CNj6qmqO3iouT74o-czdjOgIn19vP09_G6uqiy4v3kkeK6u8fW__mtpI60mbar0durv5-Yhvf49fTmyfqytIeTj4uJis_Y9J6wtLCBl46f2cTO8_qA_vHg9fW4vrjx8vfr6AAAAAC0iRa5%24&vid=1505934723&q=,Hyundai
G80 20 (2020-),MES,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwG0ibSl0LXj9f7H-6C88_ekzM3E1dfKyO3h76ql5aO8pcjbip-Jx86ysbSzsLb9_e_1pbqj1qX9_ICRqt7R6LX_8_Dk7eXs-NjfwbC_srOhjr3188DUyMzOzYifs9n38_fG0MnYnoOJtL3HubansrL_-f-2tbCsrwAAAACzWJNJ%24&vid=873041450&q=,Hyundai
Avante,DOM,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwF7RntqH3osOjEING9zPDhrAwsBBBh-GyIvIGVqKmxzagcURVBGCAF9fnt8f3kyMiA6anVsGWoyM09ediM8Aj0YCQAnV1MjNxcQDn9wfXxuQXI6PA8bBwMBAkdQfBY4PDgJHwYXUUxGe3IOOCgmOygAAAAA3ekFHw%3D%3D%24&vid=290168159&q=,Hyundai
Avante,DOM,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFaZ1pLPlsNGxApFU5SHRlKIiogJTleLQMPAURLC01SSyY1ZHFnKSBcX1pdXlgTEwEbS1RNOEsTEm5_dyEZNh4kASJcVnICFjYxL15RXF1PYFMbHS46JiIgI2ZxXTcZHRkoPic2cG1nWlMvGQkHGgkAAAAAcitlEQ%3D%3D%24&vid=1063626008&q=,Hyundai
G80 20 (2020-),EUR,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFgXWBxBGE3ISoTL3RoJyNwGAYAAQMeHDk1O35xMXdocRwPXktdExpmZWBnZGIpKTshcW53AnEpKFRFfSs1HCBkJAxkZkw4LAwLFWRrZmd1WmkhJxQAHBgaGVxLZw0jJyMSBB0MSlddYGkTbWJzZmYrLStiYWR4ewAAAAABKSF4%24&vid=240712131&q=,Hyundai
G80 20 (2020-),AUS,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwExDDEgVTBmcHtCfiU5dnIhSURRUFJPTWhkai8gYCY5IE1eDxoMQks3NDE2NTN4eGpwID8mUyB4eQUUDjJWNjdPcWA_IzNpfV1aRDU6NzYkCzhwdkVRTUlLSA0aNlxydnJDVUxdGwYMMThCPDMiNzd6fHozMDUpKgAAAACO4_HX%24&vid=1900626910&q=,Hyundai
I20 20 (2020-),GEN,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEsESw9SC17bWZfYzgka288Vl9cUE9LTHV5dzI9fTskPVBDEgcRX1YqKSwrKC5lZXdtPSI7Tj1lZBgJOXRQakhwdXldEDp0YEBHWSgnKis5FiVta1hMUFRWVRAHK0Fva29eSFFABhsRLCVxKy4_KipnYWcuLSg0NwAAAACFWKog%24&vid=1579639982&q=,Hyundai
I30 20 (2020-),EUR,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGDvoOS54LUwsnwzJeLxMCT-PLj4-DwgdrW2J2S0pSLkv_svai-8PmFhoOEh4HKytjCko2U4ZLKy7emk5zVhPmC_dXQmNLbz-_o9oeIhYSWuYrCxPfj__v5-r-ohO7AxMDx5_7vqbS-g4rehYGQhYXIzsiBgoebmAAAAAB7m99K%24&vid=626464395&q=,Hyundai
G80 20 (2020-),HMA,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGOs46f6o_Zz8T9wZqGyc2e9vL2_e3w8tfb1ZCf35mGn_LhsKWz_fSIi46JiozHx9XPn4CZ7J_Hxrqru_WE_v_ViPbN1ITWwuLl-4qFiImbtIfPyfru8vb097KliePNyc386vPipLmzjof9g4ydiIjFw8WMj4qWlQAAAAA-6O62%24&vid=1723817119&q=,Hyundai
G80 20 (2020-),EUR,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwE6BzorXjtte3BJdS4yfXkqQktaWllERmNvYSQray0yK0ZVBBEHSUA8Pzo9Pjhzc2F7KzQtWCtzcg4fAkFMRUBdeEpHZTRidlZRTz4xPD0vADN7fU5aRkJAQwYRPVd5fXlIXkdWEA0HOjNJNzgpPDxxd3E4Oz4iIQAAAAAOWsDO%24&vid=155183197&q=,Hyundai
Genesis G80,DOM,2020,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwF-Q35vGn8pPzQNMWp2OT1uBg4EAR0AAicrJWBvL2l2bwIRQFVDDQR4e355enw3NyU_b3BpHG83NkpbMSd9eAAIPyF4cHQmMhIVC3p1eHlrRHc_OQoeAgYEB0JVeRM9OT0MGgMSVElDfncNLiIoOSFmO0B0fQAAAAC4cmJh%24&vid=1317120477&q=,Hyundai
IONIQ 5 21 (2021-),HMA,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGzjrOi17Lk8vnA_Ke79PCjy8_LwNDAzOrn6K2i4qS7os_cjZiOwMm1trO0t7H6-ujyor2k0aL6-4eWpO_k7rDHs_bSi7Hr_9_Yxre4tbSmibry9MfTz8vJyo-YtN7w9PDB187fmYSOs7rOyc_J1qXt9viwoK-0sbK2qPEAAAAAHErDCw%3D%3D%24&vid=1742861856&q=,Hyundai
I30 N 20 (2021-),AUS,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGbppuK_5rM2tHo1I-T3NiL4O77-vj8ncLOwIWKyoyTiuf0pbCm6OGdnpucn5nS0sDaipWM-YrS06--jvOew9nqhd_4mqvD1_fw7p-QnZyOoZLa3O_75-Ph4qewnPbY3Njp_-b3saymm5LGnZmI4Y3CzsKBmp-cmIWGAAAAAK6b674%3D%24&vid=2080587228&q=,Hyundai
G80 ELECTRIC 21 (2021-),EUR,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFJdElYLUgeCAM6Bl1BDgpZMTgpKSo3NhAdEldYGF5BWDUmd2J0OjNPTElOTUsAABIIWEdeK1gAAX1sCSouBAwyFEoJd1sRBSUiPE1CT05cc0AIDj0pNTEzMHViTiQKDgo7LTQlY350SUA6REtaODNnb2QpMz5cSUtdVxAcAkpXVAAAAABT7_E9%24&vid=1022623517&q=,Hyundai
IONIQ 5 21 (2021-),EUR,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHm2-b3guexp6yVqfLuoaX2npeGhoWVmb-yvfj3t_Hu95qJ2M3blZzg4-bh4uSvr72n9-jxhPevrtLD5Y2Z4Z_npuKi3rO-qoqNk-Lt4OHz3O-noZKGmp6cn9rN4YuloaWUgpuKzNHb5u-bnJqcg_C4o63l9frh5Ofj_aQAAAAARjcJZA%3D%3D%24&vid=174227934&q=,Hyundai
IONIQ 5 21 (2021-),HAC,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFsUWx9CG07LSYfI3hkKy98FBAYHQ8fEzU4N3J9PXtkfRADUkdRHxZqaWxraG4lJTctfWJ7Dn0lJFhJbDNrLhE_CxwiPkQ0IAAHGWhnamt5VmUtKxgMEBQWFVBHawEvKy8eCBEARltRbGURFhAWCXoyKSdvf3Brbm1pdy4AAAAAWNozLw%3D%3D%24&vid=1560541254&q=,Hyundai
I20 22 (2021-),EUR,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHv0u_-i-64rqWcoPvnqKz_iJ6Pj4yYlra4tPH-vvjn_pOA0cTSnJXp6u_o6-2mprSu_uH4jf6mp9vKo47p7528jpW1_tu3o4OEmuvk6ej61eauqJuPk5eVltPE6IKsqKydi5KDxdjS7-ay6O386eukoqTt7ur39AAAAADBLrfN%24&vid=1370749626&q=,Hyundai
IONIQ 5 21 (2021-),AUS,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFSb1JDNlMFExghHUZaFRFCKicyMzEhLQsGCUxDA0VaQy49bHlvIShUV1JVVlAbGwkTQ1xFMEMbGmZ3E1FYAlMxNzAuSVAKHj45J1ZZVFVHaFsTFSYyLiooK255VT8RFREgNi8-eGVvUlsvKC4oN0QMFxlRQU5VUFNXSRAAAAAAFbeoSg%3D%3D%24&vid=1919671647&q=,Hyundai
I20 N 22 (2021-),AUS,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwF8QXxtGH0rPTYPM2h0Oz9sGwkcHR8LBSUrJ2JtLWt0bQATQldBDwZ6eXx7eH41NSc9bXJrHm01NEhZNCogK3E4GhcFQXIkMBAXCXh3entpRnU9OwgcAAQGBUBXexE_Oz8OGAEQVktBfHUhe35vBmolKyVmfXh7f2JhAAAAAIA-Gyo%3D%24&vid=968709691&q=,Hyundai
I30 N 20 (2021-),GEN,2021,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwETLhMCdxJEUllgXAcbVFADaGBjb3B0FUpGSA0CQgQbAm98LTguYGkVFhMUFxFaWkhSAh0EcQJaWyc2OwxCfmMQcl1VKT9LX394ZhcYFRQGKRpSVGdzb2tpai84FH5QVFBhd25_OSQuExpOFREAaQVKRkoJEhcUEA0OAAAAALPzN28%3D%24&vid=1685895041&q=,Hyundai
NEW PONY (1982-1986),HAC,1982,1986,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwH8wfztmP2rvbaPs-j0u7_sh4mK__748qWptezj6qzs9eqCzszLio6B-_79_Pqju6nsvOrz7J_qt-nGxY-5gJ-7pYuEoqHQ77GXlo758Pim59q-vLyJm4GDhNjOy7CQuLq4j5-DzdjXiv3yh4uY6JrY19zu5_nw9v3l-66hs-cAAAAAtg-jgw%3D%3D%24&vid=1210668320&q=,Hyundai
NEW PONY (1982-1986),EUR;GEN;MES,1982,1986,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwErFis6Typ8amFYZD8jbGg7X1pGKCkvJXJ-Yjs0PXs7Ij1VGRscXVlWLCkqKy10bH47az0kO0g9YD4REnRSfVVobmtYKCsfOGZAQVkuJy9xMA1pa2teTFZUUw8ZHGdHb21vWEhUGg8AXSolUFxPP00PAAs5MC4nISoyLHl2ZDAAAAAAuic2jQ%3D%3D%24&vid=1429682736&q=,Hyundai
EXCEL (1985-1990),HMA,1985,1990,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGFuIWU4YTSxM_2ypGNwsaV_vzxhYeBi9nQzJWak9WVjJP7t7Wy8_f4goeEhYPawtCVxZOKleaTzpC_vPnB9p3a49b3tKGplsju7_eAiYHfnqPHxcXw4vj6_aG3ssnpwcPB9ub6tKGu84SL9e_19P_OyM2OjoSdho-Ig8cAAAAAeSOReg%3D%3D%24&vid=1268769980&q=,Hyundai
STELLAR 1.8 (1985-1989),GEN;MES,1985,1989,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGWq5aH8pfB19zl2YKe0dWG4uf7l5SQmMjD34aJgMaGn4DopKah4OTrkZSXlpDJ0cOG1oCZhvWA3YOsr-HW5Zrw9dvrjsKihdv9_OSTmpLMjbDU1tbj8evp7rKkodr60tDS5fXpp7K94JeY8PDg7uy8oc-Vi5qDjJSbmMje3p2dm4oAAAAAAt0N5g%3D%3D%24&vid=1155119549&q=,Hyundai
STELLAR 2.0 (1985-1988),EUR;GEN;MES,1985,1988,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEUKRQFcBVDVV5nWwAcU1cEYGV5FRYRGkpBXQQLAkQEHQJqJiQjYmZpExYVFBJLU0EEVAIbBHcCXwEuLXkQRkwRa0cUGhkeB1l_fmYRGBBODzJWVFRhc2lrbDAmI1h4UFJQZ3drJTA_YhUacnJibG4-I00UCRABDhYZGkpcXB8fGAgAAAAAcIAVcw%3D%3D%24&vid=1694127666&q=,Hyundai
STELLAR 2.0 (1985-1988),HAC,1985,1988,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFRbFFANVAGEBsiHkVZFhJBKiQnUFNUXw8EGEFORwFBWEcvY2FmJyMsVlNQUVcOFgRBEUdeQTJHGkRraCo1XC0bJT8OVmJxQhw6OyNUXVULSncTEREkNiwuKXVjZh09FRcVIjIuYHV6J1BfNzcnKSt7ZghRTFVES1NcXw8ZGVpaXU0AAAAAZAV6NA%3D%3D%24&vid=1475113250&q=,Hyundai
STELLAR 1.4/1.6 (1987-1989),HAC,1987,1989,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHI9cjZrMmfiYK7h9zAj4vYs72-ycrMxpadgdjX3pjYwd62-vj_vrq1z8rJyM6Xj53YiN7H2Kveg93y8bGKpJmylK2axc7g24WjorrNxMyS0-6KiIi9r7W3sOz6_4SkjI6Mu6u3-ezjvsnGrq6-sLLi_5HL1cjSy9XK3ouciMLM0czDw8XXAAAAAOgEftc%3D%24&vid=2014121367&q=,Hyundai
EXCEL (1987-1989),HAC,1987,1989,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGuk66_yq_57-Td4bqm6e2-1dvYrqyqoPL7576xuP6-p7jQnJ6Z2NzTqayvrqjx6fu-7rihvs245buUl6_Z9e76wqnftr64vePFxNyroqr0tYjs7u7bydPR1oqcmeLC6ujq3c3Rn4qF2K-g3sTe39Tl4-alpa22raSioewAAAAAEUo-oQ%3D%3D%24&vid=4846946&q=,Hyundai
EXCEL/PONY EXCEL (1987-1989),AUS;EUR;GEN;MES,1987,1989,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFGe0ZXIkcRBww1CVJOAQVWMjcrRkRCSBoTD1ZZUBZWT1A4dHZxMDQ7QURHRkAZARNWBlBJViVQDVN8fzoeC0QQAjU5SEBcVQstLDRDSkIcXWAEBgYzITs5PmJ0cQoqAgACNSU5d2JtMEdINiw2NzwCc3A6LFI2LDY3PA0LDk1NRV5FTEpJBAAAAAARVodz%24&vid=223861362&q=,Hyundai
STELLAR 1.4/1.6 (1987-1989),EUR;GEN;MES,1987,1989,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwG2i7an0rfh9_zF-aK-8fWmwsfbt7SyuOjj_6apoOamv6DIhIaBwMTLsbS3trDp8eOm9qC5ptWg_aOMj-nwycnx7LHXreKOpfvd3MSzurLsrZD09vbD0cvJzpKEgfra8vDyxdXJh5KdwLe40NDAzsycge-1q7astau0oPXi9ryyr7K9vbupAAAAAO8u2kI%3D%24&vid=85652135&q=,Hyundai
SONATA 91 (1989-1993),HMA;HAC,1988,1993,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHU6dTFsNWDlZ6nm8Dck5fEr62g1dTQ246BncTLwoTE3cKq5uTjoqap09bV1NKLk4HElMLbxLfCn8Hu7YC-sdmXuI6kjujGx5m_vqbR2NCOz_KWlJShs6mrrPDm45i4kJKQp7er5fD_otXasqmpobb-kZTXx8jQ39_Zz46IlNXOAAAAACyof84%3D%24&vid=101346948&q=,Hyundai
